"Number of occurrences of `""o""` in string s","s.count(""o"")","String",1
"`l = [""a"",""b"",""c""]`. Output `""a-b-c""`","""-"".join(l)","String",1
"Output string version of `num`","str(num)","String",1
"Output lowercase version of string `s`","s.lower()","String",1
"Output uppercase version of string `s`","s.upper()","String",1
"Is string `s` alphebetical?","s.isalpha()","String",1
"Is string `s` lower case?","s.islower()","String",1
"Is string `s` upper case?","s.isupper()","String",1
"Is string `s` digits?","s.isdigit()","String",1
"Substitute all occurences of `""a""` with `""b""` in string `s`","s.replace(""a"",""b"")","String",1
"Is string `s` alphanumeric?","s.isalnum()","String",1
"Remove leading and trailing spaces from string `s`","s.strip()","String",1
"Remove leading spaces from string `s`","s.lstrip()","String",1
"Remove trailing spaces from string `s`","s.rstrip()","String",1
"Get ascii code of `""a""`","ord(""a"")","String",1
"Get character corresponding with ascii code 97","char(97)","String",1
